name,category,latitude,longitude,mood,budget,companion,area,time,description
Adyar Ananda Bhavan,restaurant,13.0363714,80.2304855,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Adyar Ananda Bhavan,restaurant,13.0770838,80.2609259,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Adyar Ananda Bhavan,restaurant,13.1083317,80.2417991,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Adyar Ananda Bhavan,restaurant,13.113747,80.2885634,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Adyar Ananda Bhavan,restaurant,13.0585503,80.2766839,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Adyar Ananda Bhavan,restaurant,13.0823839,80.2749488,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Adyar Ananda Bhavan,restaurant,13.1080731,80.245526,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Adyar Ananda Bhavan,restaurant,13.0858295,80.2541479,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Adyar Ananda Bhavan,restaurant,13.0843038,80.2249226,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Adyar Ananda Bhavan,restaurant,13.1081671,80.2916801,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Saravana Bhavan,fast_food,13.0409915,80.2367581,casual,low,solo,T. Nagar,one hour,
AL Tharik Beef Biriyani Hotel,fast_food,13.0597983,80.2229583,casual,low,solo,Nungambakkam,one hour,
Sri Periyandavar Super Market,supermarket,12.9862638,80.2249871,errands,low,family,Adyar,one hour,
Dindigul Thalappakatti Restaurant,restaurant,13.0823097,80.2095947,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Starbucks,cafe,13.0850931,80.2123962,chill,mid,solo,Nungambakkam,two hours,
Impala Food center,cafe,13.0775405,80.2619973,chill,mid,solo,Nungambakkam,two hours,
Aruna Bhavan vegetarian restaurant,restaurant,12.8993075,80.2281164,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Hotel Valli Murugan Veg,restaurant,12.8989609,80.228151,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
My bakers juice shop,cafe,12.8988584,80.2280206,chill,mid,solo,Adyar,two hours,
Amma Unavagam,restaurant,13.0852612,80.1989719,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Nilgris Supermarket,supermarket,13.085416,80.199766,errands,low,family,Nungambakkam,one hour,
Dindigul Thalappakatti Restaurant,restaurant,12.9774093,80.2192931,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Kooraikadai Biriyani Center,restaurant,12.9009495,80.2308112,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
al-bake,restaurant,12.9009425,80.2322854,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Hotel Sabari,restaurant,13.0474926,80.2400944,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Saardar ji Kulfi,restaurant,12.9877999,80.2559976,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Saravana Bhavan,fast_food,13.087417,80.1982028,casual,low,solo,Nungambakkam,one hour,
Karthick Tiffen Center,restaurant,13.0850448,80.2030227,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Nathans Cafe (Veg),restaurant,13.0703443,80.2041894,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Buhari Hotel,restaurant,12.9425654,80.2535154,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Hotel Bharani (Veg),restaurant,12.9913488,80.2561491,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Sri Ganesh Bhavan (veg),restaurant,13.0196561,80.2061789,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Somu Cake,fast_food,13.0656063,80.273769,casual,low,solo,Nungambakkam,one hour,
Ananda veg restaurant,restaurant,13.0365816,80.2511081,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Sangeetha veg restaurant,restaurant,13.0354735,80.2493101,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Adayar Ananda Bhavan (A2B),restaurant,13.0713977,80.20342,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Namma Veedu Vasantha Bhavan,restaurant,13.0572287,80.2117342,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Domino's,fast_food,13.0662325,80.2738,casual,low,solo,Nungambakkam,one hour,
Tea Shop,cafe,12.9811251,80.2294284,chill,mid,solo,Adyar,two hours,
Ayya SuperMarket,supermarket,12.9813012,80.2295534,errands,low,family,Adyar,one hour,
McDonald's,fast_food,13.0068373,80.2542291,casual,low,solo,Adyar,one hour,
JK Super Market,supermarket,12.9799898,80.2089352,errands,low,family,Adyar,one hour,
Sorgam,restaurant,13.0113027,80.2539436,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Ambedkar Statue,monument,13.1055919,80.2079346,misc,mid,solo,Nungambakkam,one hour,
AL MYSHIESHA RESTAURANT,restaurant,13.0288445,80.224007,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Jamba Juice,fast_food,13.0287635,80.2198496,casual,low,solo,T. Nagar,one hour,
Saran fast food,fast_food,13.0283112,80.2239348,casual,low,solo,T. Nagar,one hour,
Starbucks,cafe,13.029281,80.2485711,chill,mid,solo,T. Nagar,two hours,
Subway,fast_food,13.0297072,80.2454577,casual,low,solo,T. Nagar,one hour,
Amma Unavagam,restaurant,12.9341202,80.2332305,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
M.G.R. Memorial Park,memorial,13.0642744,80.2853155,misc,mid,solo,Nungambakkam,one hour,
Kova Alankar Vilas,restaurant,13.0808614,80.2675812,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Subway,fast_food,13.0741894,80.2621162,casual,low,solo,Nungambakkam,one hour,
Saravana Bhavan,fast_food,13.0768575,80.2622942,casual,low,solo,Nungambakkam,one hour,
Greenapple,fast_food,13.084481,80.2760751,casual,low,solo,Nungambakkam,one hour,
Tropicana Bar,bar,13.0766998,80.2625321,party,high,friends,Nungambakkam,one hour,
Rawther Restaurant,restaurant,13.0689007,80.256646,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
IndCafe,cafe,13.0680696,80.2563969,chill,mid,solo,Nungambakkam,two hours,
Palmshore,restaurant,13.0695817,80.2572161,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Cisons Complex,mall,13.0690491,80.2570006,shop,high,friends,Nungambakkam,half a day,
Perarignar Anna Memorial,memorial,13.065471,80.2855855,misc,mid,solo,Nungambakkam,one hour,
Pizza Hut,restaurant,12.9843083,80.1673118,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
KFC,fast_food,12.984588,80.1676556,casual,low,solo,T. Nagar,one hour,
Akbar Marundhu Mill,attraction,13.0347941,80.273749,touristy,low,family,T. Nagar,full day,
Annachi Super Market,supermarket,13.0874539,80.1966386,errands,low,family,Nungambakkam,one hour,
Hotel Bhukara,restaurant,13.0874492,80.1980697,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Starbucks,cafe,13.0292984,80.2484733,chill,mid,solo,T. Nagar,two hours,
KrishnaVillasam,restaurant,13.0048142,80.2547297,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Noodle Theory,restaurant,13.0456112,80.2408779,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Nuts and Spices,supermarket,13.045587,80.2407688,errands,low,family,Nungambakkam,one hour,
Nilgiri's,supermarket,13.0455141,80.2406636,errands,low,family,Nungambakkam,one hour,
Wow! Momos,fast_food,12.9806527,80.1639502,casual,low,solo,T. Nagar,one hour,
Subway,fast_food,12.9844031,80.167661,casual,low,solo,T. Nagar,one hour,
Wow! Momo,fast_food,12.984361,80.1674836,casual,low,solo,T. Nagar,one hour,
Buhari Hotel,restaurant,13.0473514,80.2447632,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
AGS Cinemas (T Nagar),cinema,13.0474821,80.2450469,entertainment,mid,friends,Nungambakkam,half a day,
Bharathi Mess,restaurant,13.0586043,80.2767198,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Kaaraikudi Chettinad Restaurant,restaurant,13.0299433,80.2422867,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
The Thickshake Factory,restaurant,13.0470852,80.2453529,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Kamaraj Memorial,memorial,13.0490327,80.2496348,misc,mid,solo,Nungambakkam,one hour,
KFC,fast_food,13.0721863,80.2026446,casual,low,solo,Nungambakkam,one hour,
Muthamiz Hotel,restaurant,13.1081205,80.2452539,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Chennai Corporation Park,park,12.9759493,80.2178529,relax,free,solo,Adyar,half a day,
A2B,restaurant,13.0684153,80.2041932,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Blah Bistro,restaurant,13.0654508,80.243297,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Marina Lighthouse,attraction,13.039631,80.2794168,touristy,low,family,T. Nagar,full day,
Sivaji Ganesan Memorial,memorial,13.0160705,80.2592477,misc,mid,solo,Adyar,one hour,
Black Box,fast_food,13.0593071,80.2446893,casual,low,solo,Nungambakkam,one hour,
Salem RR Biriyani,restaurant,13.0195262,80.2065287,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Kanchi Singu Aiyyar Bhavan,restaurant,13.0216123,80.2066863,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Cafe Coffee Day,cafe,13.0495809,80.2572224,chill,mid,solo,Nungambakkam,two hours,
Peppercorn,fast_food,12.9068889,80.2242154,casual,low,solo,Adyar,one hour,
Snow Cube Cafe,cafe,12.9693611,80.1887998,chill,mid,solo,Adyar,two hours,
Kappa Chakka Kandhari,restaurant,13.0642227,80.2479976,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
PVR Cinemas Grand Galada,cinema,12.9785611,80.1616747,entertainment,mid,friends,Adyar,half a day,
Helice,supermarket,13.054753,80.2455557,errands,low,family,Nungambakkam,one hour,
Drunken Monkey,bar,13.0330302,80.2116697,party,high,friends,T. Nagar,one hour,
Sulthan's,restaurant,13.0331629,80.2117295,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Saravana Bhavan,fast_food,13.0361328,80.2125995,casual,low,solo,T. Nagar,one hour,
Anjappar,restaurant,13.0557267,80.2485052,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Domino's,fast_food,13.0531665,80.2466703,casual,low,solo,Nungambakkam,one hour,
Surabh,restaurant,13.0568503,80.2428855,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Cafe Coffee Day,cafe,13.0554045,80.2496804,chill,mid,solo,Nungambakkam,two hours,
Rajendran Store,supermarket,13.0554705,80.2456105,errands,low,family,Nungambakkam,one hour,
Mylapore Filter Coffee,cafe,13.0555258,80.2458215,chill,mid,solo,Nungambakkam,two hours,
Mathura Chat and Lassi,fast_food,13.0557243,80.2471356,casual,low,solo,Nungambakkam,one hour,
Madras Coffee House,cafe,13.0557506,80.2471927,chill,mid,solo,Nungambakkam,two hours,
Angadi,supermarket,13.0553682,80.2457969,errands,low,family,Nungambakkam,one hour,
Thalappakatti,restaurant,13.0539386,80.250339,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Madras Curry Cup,restaurant,13.0533468,80.2494941,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
KFC,fast_food,13.0534389,80.2473986,casual,low,solo,Nungambakkam,one hour,
Grace World,supermarket,13.0574051,80.2430596,errands,low,family,Nungambakkam,one hour,
Aathirai,restaurant,13.0585809,80.241796,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
KFC,fast_food,13.00051,80.2707475,casual,low,solo,Besant Nagar,one hour,
WhatsFresh,supermarket,12.9695845,80.2439087,errands,low,family,Adyar,one hour,
park,park,13.0668847,80.2414517,relax,free,solo,Nungambakkam,half a day,
Hotel Akshayam,restaurant,12.9733427,80.2194396,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
KFC,fast_food,13.0316616,80.2115156,casual,low,solo,T. Nagar,one hour,
Ibaco,fast_food,12.964293,80.1982097,casual,low,solo,Adyar,one hour,Explore this exciting spot!
Arush Retail Supermarket,supermarket,13.0210736,80.1602804,errands,low,family,T. Nagar,one hour,
Grace Hypermarket,supermarket,13.0398646,80.131182,errands,low,family,Nungambakkam,one hour,
Alagar Multicuisine Restaurant,restaurant,13.0373996,80.2163947,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Hotel Tiruchendur Mani Iyer,restaurant,13.034046,80.2162828,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
New Ganesh Cafe,cafe,13.0340735,80.2169077,chill,mid,solo,T. Nagar,two hours,
Wheels on Fire,restaurant,13.034045,80.2171992,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Nuts N Spices,supermarket,13.0342714,80.2155103,errands,low,family,T. Nagar,one hour,
Grace Super Market,supermarket,13.0341642,80.2151382,errands,low,family,T. Nagar,one hour,
Salem RR biryani Unavagam AC,restaurant,12.9887853,80.2183072,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Inox,cinema,13.0430874,80.2737331,entertainment,mid,friends,T. Nagar,half a day,
Krishna Supermarket,supermarket,12.9665853,80.2360977,errands,low,family,Adyar,one hour,
Amudham Supermarket,supermarket,13.0474258,80.268615,errands,low,family,Nungambakkam,one hour,
Ration Shop,convenience,12.9754659,80.1894155,errands,low,family,Adyar,one hour,
Zaika Uttar Da,restaurant,12.9773969,80.2240566,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Kasi Talkies,cinema,13.0301649,80.2071951,entertainment,mid,friends,T. Nagar,half a day,
McRennett Cakes,restaurant,13.0364073,80.2121432,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Hot Chips Veg Restaurant,restaurant,13.0367439,80.2121821,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Chennai Darbar Restaurant,restaurant,13.0299235,80.2096111,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
SPI Palazzo Chennai,cinema,13.0506761,80.2096467,entertainment,mid,friends,Nungambakkam,half a day,
Dindigul Thalappakatti Ashok Nagar,restaurant,13.0312424,80.2161917,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Ayya Chettinad Unavagam,restaurant,13.0270738,80.2107079,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Parvathi Store,convenience,13.0279813,80.2095824,errands,low,family,T. Nagar,one hour,
Island Kitchen,restaurant,13.0273546,80.2119134,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Ray Mart Supermarket,supermarket,13.0284745,80.2123238,errands,low,family,T. Nagar,one hour,
Palmshore Restaurant Ashok Nagar,restaurant,13.0297592,80.2087661,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Hotel Sangeetha Pure VEG,restaurant,13.0295669,80.2111579,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Arabian Foods and Bites,fast_food,13.0297966,80.2105189,casual,low,solo,T. Nagar,one hour,
Visalam Supermarket,supermarket,13.0299976,80.2088159,errands,low,family,T. Nagar,one hour,
Bharath Gem Testing Lab,supermarket,13.0365972,80.2323815,errands,low,family,T. Nagar,one hour,
Dhanyam organic shop,supermarket,12.9983201,80.2513463,errands,low,family,Adyar,one hour,
Dhanyam Organic store,supermarket,12.9761125,80.2211935,errands,low,family,Adyar,one hour,
Dhanyam organic store,supermarket,13.0445056,80.2443029,errands,low,family,T. Nagar,one hour,
Dhanyam Organic shop,supermarket,13.0838561,80.212224,errands,low,family,Nungambakkam,one hour,
Dhanyam organic store,supermarket,12.942059,80.2534825,errands,low,family,Adyar,one hour,
Dindigul Thalappakatti Restaurant T NAGAR,restaurant,13.033688,80.2383491,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Nilgiri's,supermarket,12.87087,80.2436443,errands,low,family,Adyar,one hour,
India Coffee House,cafe,12.8728311,80.2434271,chill,mid,solo,Adyar,two hours,
Tosai Restaurant,restaurant,12.8728366,80.2435159,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
GKS Santhi Bavan,restaurant,13.1031362,80.2079955,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Burma Square,fast_food,12.97435,80.2441455,casual,low,solo,Adyar,one hour,
Cool Biz,restaurant,12.9811415,80.2430286,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
C.S.Rajasundaram Chetty & Sons.,supermarket,13.0859974,80.2807246,errands,low,family,Nungambakkam,one hour,
Burmese Cafe,cafe,13.0557253,80.2470491,chill,mid,solo,Nungambakkam,two hours,
Shell Select,convenience,12.9642072,80.187667,errands,low,family,Adyar,one hour,
Alif Biryani,restaurant,12.9728077,80.1914452,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Sri Vinayaga Hot Chips,fast_food,12.9727291,80.1914155,casual,low,solo,Adyar,one hour,
Biryani Shop,restaurant,12.973021,80.1915414,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
C K Selvam Super Store,supermarket,12.9720719,80.1911414,errands,low,family,Adyar,one hour,
Domino's,fast_food,12.9802606,80.1988848,casual,low,solo,Adyar,one hour,
Drunken Monkey,fast_food,12.9801791,80.199145,casual,low,solo,Adyar,one hour,
Oyalo Pizza,fast_food,12.9749708,80.1922417,casual,low,solo,Adyar,one hour,
Madurai Alagarsamy Mess,restaurant,12.9757537,80.1925149,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
A1 Chips,fast_food,12.9662978,80.1888784,casual,low,solo,Adyar,one hour,
PVR Cinemas,cinema,12.9719083,80.2207302,entertainment,mid,friends,Adyar,half a day,
Kurtosshhh,restaurant,13.0009865,80.2706996,romantic,mid,date,Besant Nagar,two hours,Explore this exciting spot!
Venkateswara Boli Stall,fast_food,12.9691164,80.190081,casual,low,solo,Adyar,one hour,
More,supermarket,12.9709195,80.1905786,errands,low,family,Adyar,one hour,
Sri Kannan Super Stores,supermarket,12.9716144,80.2188896,errands,low,family,Adyar,one hour,
Savoury Sea Shell,restaurant,12.9723375,80.2192115,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Zaitoon,restaurant,12.9731363,80.2194965,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Nellai New Ruchi Hotel,restaurant,12.982487,80.2253583,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Royal Coffee,cafe,12.9825441,80.2253523,chill,mid,solo,Adyar,two hours,
SMS Super Market,convenience,12.9770646,80.2254882,errands,low,family,Adyar,one hour,
Tamu Tamu,restaurant,13.0475624,80.2544953,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Green Mantra,convenience,12.981822,80.1891132,errands,low,family,Adyar,one hour,
Froz'n,convenience,12.9709314,80.223386,errands,low,family,Adyar,one hour,
Hotel Buhari,restaurant,12.9794189,80.2264976,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
St. Thomas Pole,monument,13.0332048,80.2787726,misc,mid,solo,T. Nagar,one hour,
Osteria By That Madras Place,restaurant,13.0059052,80.2507705,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
More,supermarket,13.044123,80.240596,errands,low,family,T. Nagar,one hour,
Biriyania,restaurant,13.0354377,80.2494992,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Shri Rajasthani Dhaba,restaurant,13.0848937,80.2048073,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Santhosh Supermarket,supermarket,13.0853781,80.2061677,errands,low,family,Nungambakkam,one hour,
Tryst,cafe,12.9463035,80.2540207,chill,mid,solo,Adyar,two hours,
The Baristo Brew,cafe,13.0609645,80.2469181,chill,mid,solo,Nungambakkam,two hours,
Yarl Supermarket,convenience,12.9709728,80.2230336,errands,low,family,Adyar,one hour,
Pumpkin Tales,restaurant,13.0335737,80.2552947,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Ek Aur Paratha,restaurant,13.0482571,80.2534355,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
That Mallu Joint,restaurant,13.0416717,80.2346309,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
The North View Kitchen,restaurant,13.006018,80.2001145,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Polka Pastry,restaurant,13.0060258,80.1999482,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
House #22 Cafe,cafe,13.0060598,80.1997658,chill,mid,solo,T. Nagar,two hours,
Little Italy,restaurant,12.9963828,80.2684474,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Annai Atuppankarai,restaurant,12.9662356,80.1906699,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Thanthai Periyar Statue,memorial,12.9741318,80.183337,misc,mid,solo,Adyar,one hour,
Sukkubhai Biryani,restaurant,13.0004562,80.2005863,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Sree Gupta Bhavan,restaurant,12.9875298,80.2182192,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Arasi Restaurant,restaurant,13.0635552,80.2763834,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
75th Anniversary of Independence Monument,monument,13.0678837,80.2841124,misc,mid,solo,Nungambakkam,one hour,
Alchemy Media Marketing,supermarket,12.9945334,80.2640619,errands,low,family,Adyar,one hour,
